
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
82695         0x14307         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/main.c
83928         0x147D8         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_wifi/hardware_wifi.c
85577         0x14E49         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_wifi/wifi_configration.c
86121         0x15069         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_ethernet/hardware_ethernet.c
87097         0x15439         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/utilities/util_nvs.c
92688         0x16A10         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/logic_http_server/logic_http_server.c
94312         0x17068         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_sx126x/sx126x_hal.c
95182         0x173CE         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/utilities/util_base64.c
95415         0x174B7         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/logic_update/logic_update.c
182544        0x2C910         SHA256 hash constants, little endian
183527        0x2CCE7         PEM certificate
189336        0x2E398         Base64 standard index table
194870        0x2F936         PEM RSA private key
194931        0x2F973         PEM EC private key
202826        0x3184A         AES Inverse S-Box
4276999       0x414307        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/main.c
4278232       0x4147D8        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_wifi/hardware_wifi.c
4279881       0x414E49        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_wifi/wifi_configration.c
4280425       0x415069        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_ethernet/hardware_ethernet.c
4281401       0x415439        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/utilities/util_nvs.c
4286992       0x416A10        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/logic_http_server/logic_http_server.c
4288616       0x417068        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_sx126x/sx126x_hal.c
4289486       0x4173CE        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/utilities/util_base64.c
4289719       0x4174B7        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/logic_update/logic_update.c
4376848       0x42C910        SHA256 hash constants, little endian
4377831       0x42CCE7        PEM certificate
4383640       0x42E398        Base64 standard index table
4389174       0x42F936        PEM RSA private key
4389235       0x42F973        PEM EC private key
4397130       0x43184A        AES Inverse S-Box
8471303       0x814307        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/main.c
8472536       0x8147D8        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_wifi/hardware_wifi.c
8474185       0x814E49        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_wifi/wifi_configration.c
8474729       0x815069        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_ethernet/hardware_ethernet.c
8475705       0x815439        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/utilities/util_nvs.c
8481296       0x816A10        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/logic_http_server/logic_http_server.c
8482920       0x817068        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_sx126x/sx126x_hal.c
8483790       0x8173CE        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/utilities/util_base64.c
8484023       0x8174B7        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/logic_update/logic_update.c
8571152       0x82C910        SHA256 hash constants, little endian
8572135       0x82CCE7        PEM certificate
8577944       0x82E398        Base64 standard index table
8583478       0x82F936        PEM RSA private key
8583539       0x82F973        PEM EC private key
8591434       0x83184A        AES Inverse S-Box
12665607      0xC14307        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/main.c
12666840      0xC147D8        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_wifi/hardware_wifi.c
12668489      0xC14E49        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_wifi/wifi_configration.c
12669033      0xC15069        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_ethernet/hardware_ethernet.c
12670009      0xC15439        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/utilities/util_nvs.c
12675600      0xC16A10        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/logic_http_server/logic_http_server.c
12677224      0xC17068        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_sx126x/sx126x_hal.c
12678094      0xC173CE        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/utilities/util_base64.c
12678327      0xC174B7        Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/logic_update/logic_update.c
12765456      0xC2C910        SHA256 hash constants, little endian
12766439      0xC2CCE7        PEM certificate
12772248      0xC2E398        Base64 standard index table
12777782      0xC2F936        PEM RSA private key
12777843      0xC2F973        PEM EC private key
12785738      0xC3184A        AES Inverse S-Box

