
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
82695         0x14307         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/main.c
83928         0x147D8         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_wifi/hardware_wifi.c
85577         0x14E49         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_wifi/wifi_configration.c
86127         0x1506F         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_internet/hardware_ethernet/hardware_ethernet.c
87212         0x154AC         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/utilities/util_nvs.c
92797         0x16A7D         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/logic_http_server/logic_http_server.c
94424         0x170D8         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/hardware_sx126x/sx126x_hal.c
95298         0x17442         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/utilities/util_base64.c
95531         0x1752B         Unix path: /home/ky/SharedWorkspace/GW-YS1603-V2/main/modules/logic_update/logic_update.c
182732        0x2C9CC         SHA256 hash constants, little endian
183715        0x2CDA3         PEM certificate
189520        0x2E450         Base64 standard index table
195054        0x2F9EE         PEM RSA private key
195115        0x2FA2B         PEM EC private key
203010        0x31902         AES Inverse S-Box

